InvoiceID,Date,Product,Category,Gender,Brand,StoreID,StoreName,Region,Latitude,Longitude,UnitsSold,ListPrice,DiscountPct,NetUnitPrice,GrossSales,NetSales,MarginPct,MarginValue,IsPromo,PromoType,Budget,Year,RetailYear,RetailWeek,RetailWeekStart,RetailWeekEnd,RetailWeekLabel
INV100000,2024-05-13,NorthPeak Jackets Perhaps,Jackets,Women,NorthPeak,S003,East Outlet 3,East,52.906079,1.411492,4,132.9,0.0,132.9,531.6,531.6,0.35,186.06,False,,511.12,2024,2024,16,2024-05-12,2024-05-18,RY2024-W16
INV100001,2024-03-30,SummitGear Jackets Statement,Jackets,Unisex,SummitGear,S007,East Outlet 7,East,52.791487,0.283097,1,162.62,0.1424945333555459,139.45,162.62,139.45,0.3145032799866725,43.86,True,Seasonal,139.96,2024,2024,9,2024-03-24,2024-03-30,RY2024-W09
INV100002,2024-12-11,NorthPeak Footwear Involve,Footwear,Unisex,NorthPeak,S009,East Outlet 9,East,52.576008,1.241113,1,74.09,0.0,74.09,74.09,74.09,0.45,33.34,False,,76.57,2024,2024,46,2024-12-08,2024-12-14,RY2024-W46
INV100003,2024-05-22,TrailPro Backpacks Threat,Backpacks,Men,TrailPro,S017,South Outlet 17,South,51.354924,-0.002759,2,47.81,0.0,47.81,95.62,95.62,0.5,47.81,False,,92.73,2024,2024,17,2024-05-19,2024-05-25,RY2024-W17
INV100004,2024-12-09,TrailPro Backpacks Among,Backpacks,Women,TrailPro,S010,North Outlet 10,North,54.316189,-2.004592,3,83.51,0.0,83.51,250.53,250.53,0.35,87.69,False,,269.06,2024,2024,46,2024-12-08,2024-12-14,RY2024-W46
INV100005,2025-08-17,SummitGear Footwear Opportunity,Footwear,Unisex,SummitGear,S003,East Outlet 3,East,52.906079,1.411492,5,117.01,0.12956954890158995,101.85,585.05,509.25,0.42225827065904603,215.04,True,Seasonal,513.9,2025,2025,30,2025-08-17,2025-08-23,RY2025-W30
INV100006,2025-04-17,UrbanClimb Jackets Political,Jackets,Unisex,UrbanClimb,S013,South Outlet 13,South,51.356685,-0.035065,3,86.36,0.0,86.36,259.08,259.08,0.35,90.68,False,,268.45,2025,2025,12,2025-04-13,2025-04-19,RY2025-W12
INV100007,2025-06-01,UrbanClimb Shirts Be,Shirts,Unisex,UrbanClimb,S020,East Outlet 20,East,53.16545,0.733785,3,62.0,0.2789265965871407,44.71,186.0,173.7,0.2826440420477156,49.1,True,Clearance,186.18,2025,2025,19,2025-06-01,2025-06-07,RY2025-W19
INV100008,2024-06-30,TrailPro Shirts Nature,Shirts,Men,TrailPro,S011,East Outlet 11,East,53.36734,1.009986,2,43.31,0.0,43.31,86.62,97.04,0.35,33.96,False,,103.24,2024,2024,23,2024-06-30,2024-07-06,RY2024-W23
INV100009,2025-06-03,NorthPeak Footwear Piece,Footwear,Men,NorthPeak,S016,East Outlet 16,East,52.869356,0.972581,4,125.09,0.0,125.09,500.36,500.36,0.4,200.14,False,,543.54,2025,2025,19,2025-06-01,2025-06-07,RY2025-W19
INV100010,2025-07-19,NorthPeak Footwear Sea,Footwear,Unisex,NorthPeak,S013,South Outlet 13,South,51.356685,-0.035065,5,86.62,0.0,86.62,433.1,433.1,0.45,194.9,False,,442.89,2025,2025,25,2025-07-13,2025-07-19,RY2025-W25
INV100011,2025-06-29,RegattaX Jackets We,Jackets,Women,RegattaX,S010,North Outlet 10,North,54.316189,-2.004592,2,178.86,0.0,178.86,357.72,357.72,0.45,160.97,False,,362.36,2025,2025,23,2025-06-29,2025-07-05,RY2025-W23
INV100012,2025-02-28,SummitGear Footwear Catch,Footwear,Men,SummitGear,S006,East Outlet 6,East,53.088162,0.417446,5,102.64,0.0,102.64,513.2,513.2,0.35,179.62,False,,526.17,2025,2025,5,2025-02-23,2025-03-01,RY2025-W05
INV100013,2025-09-09,TrailPro Footwear Yeah,Footwear,Women,TrailPro,S018,South Outlet 18,South,51.486848,0.111979,2,99.33,0.0,99.33,198.66,198.66,0.35,69.53,False,,211.05,2025,2025,33,2025-09-07,2025-09-13,RY2025-W33
INV100014,2025-02-21,SummitGear Jackets Brother,Jackets,Unisex,SummitGear,S012,South Outlet 12,South,50.876986,-0.226394,4,203.01,0.19255787930197366,163.92,812.04,819.06,0.2844652724188158,232.99,True,Bundle,856.47,2025,2025,4,2025-02-16,2025-02-22,RY2025-W04
